"#","00_IDENTIFICADOR DE L'ALUMNE/A","01_NOM","02_DATA NAIXEMENT","03_RESPONSABLE 1","04_TELÈFON RESP. 1","05_MÒBIL RESP. 1","06_ADREÇA ELECTR. RESP. 1","07_RESPONSABLE 2","08_TELÈFON RESP. 2","09_MÒBIL RESP. 2","10_ADREÇA ELECTR. RESP. 2","11_ADREÇA","12_LOCALITAT","13_MUNICIPI","14_CORREU ELECTRÒNIC","15_ALTRES TELÈFONS","16_CENTRE PROCEDÈNCIA","17_GRUPSCLASSE"
"1","17822541994","Valencia Cabello, Berta","16/02/1995","Arias Rodriguez, Martina","+34 XXXXXXX","+34 XXXXXXX","berta@mailintaor.com","Abad Camacho, Cristina","+34 XXXXZZZZ","+34 XXXXLLL","martina@mailintaor.com","c/ de l'aviador Cristina Abad Camacho","L'Armentera","Albanyà","berta@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","94585747118","Segura Bonet, Judit","06/10/1997","Gallardo Martos, Martí","+34 XXXXXXX","+34 XXXXXXX","judit@mailintaor.com","Garcia Flores, Jordi","+34 XXXXZZZZ","+34 XXXXLLL","marti@mailintaor.com","c/ de l'aviador Jordi Garcia Flores","L'Armentera","Albanyà","judit@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","84190889183","Torrent Contreras, Bruna","15/02/1994","Hurtado Cortes, Judit","+34 XXXXXXX","+34 XXXXXXX","bruna@mailintaor.com","Requena Marin, Mohamed","+34 XXXXZZZZ","+34 XXXXLLL","judit@mailintaor.com","c/ de l'aviador Mohamed Requena Marin","L'Armentera","Albanyà","bruna@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","30234413316","Piñol Bueno, Diego","30/05/1993","Gutierrez Vazquez, Alejandro","+34 XXXXXXX","+34 XXXXXXX","diego@mailintaor.com","Carrera Vila, Guillem","+34 XXXXZZZZ","+34 XXXXLLL","alejandro@mailintaor.com","c/ de l'aviador Guillem Carrera Vila","L'Armentera","Albanyà","diego@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","60020994605","Palau Santos, Mariona","01/03/1997","Martinez Busquets, Gisela","+34 XXXXXXX","+34 XXXXXXX","mariona@mailintaor.com","Contreras Fuentes, Guillem","+34 XXXXZZZZ","+34 XXXXLLL","gisela@mailintaor.com","c/ de l'aviador Guillem Contreras Fuentes","L'Armentera","Albanyà","mariona@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","99005933048","Lopez Castells, Alexandra","18/08/1995","Rueda Andreu, Albert","+34 XXXXXXX","+34 XXXXXXX","alexandra@mailintaor.com","Lorenzo Pla, Joana","+34 XXXXZZZZ","+34 XXXXLLL","albert@mailintaor.com","c/ de l'aviador Joana Lorenzo Pla","L'Armentera","Albanyà","alexandra@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","86266997196","Sanchez Gutierrez, Eloi","21/07/1991","Ramon Serra, Izan","+34 XXXXXXX","+34 XXXXXXX","eloi@mailintaor.com","Dalmau Casanovas, Jana","+34 XXXXZZZZ","+34 XXXXLLL","izan@mailintaor.com","c/ de l'aviador Jana Dalmau Casanovas","L'Armentera","Albanyà","eloi@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","91622781350","Bonet Franco, Sara","13/05/1990","Benitez Perez, Leire","+34 XXXXXXX","+34 XXXXXXX","sara@mailintaor.com","Calvo Millan, Andrea","+34 XXXXZZZZ","+34 XXXXLLL","leire@mailintaor.com","c/ de l'aviador Andrea Calvo Millan","L'Armentera","Albanyà","sara@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","45424564762","Soriano Pereira, Axel","29/07/1997","Peña Pages, Eloi","+34 XXXXXXX","+34 XXXXXXX","axel@mailintaor.com","Plaza Crespo, Adrián","+34 XXXXZZZZ","+34 XXXXLLL","eloi@mailintaor.com","c/ de l'aviador Adrián Plaza Crespo","L'Armentera","Albanyà","axel@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","27191792436","Salvador Reina, Berta","17/07/1998","Casals Garcia, Isaac","+34 XXXXXXX","+34 XXXXXXX","berta@mailintaor.com","Castaño Montoya, Paula","+34 XXXXZZZZ","+34 XXXXLLL","isaac@mailintaor.com","c/ de l'aviador Paula Castaño Montoya","L'Armentera","Albanyà","berta@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","71654380596","Medina Sala, Mohamed","07/04/1997","Roca Arias, Diego","+34 XXXXXXX","+34 XXXXXXX","mohamed@mailintaor.com","Exposito Alarcon, Laia","+34 XXXXZZZZ","+34 XXXXLLL","diego@mailintaor.com","c/ de l'aviador Laia Exposito Alarcon","L'Armentera","Albanyà","mohamed@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","29561603502","Roman Font, Adriana","11/10/1991","Codina Calvo, Samuel","+34 XXXXXXX","+34 XXXXXXX","adriana@mailintaor.com","Prieto Planas, Mar","+34 XXXXZZZZ","+34 XXXXLLL","samuel@mailintaor.com","c/ de l'aviador Mar Prieto Planas","L'Armentera","Albanyà","adriana@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","75367428647","Farre Vicente, Gabriel","20/08/1995","Vila Carmona, Clara","+34 XXXXXXX","+34 XXXXXXX","gabriel@mailintaor.com","Pastor Rojas, Javier","+34 XXXXZZZZ","+34 XXXXLLL","clara@mailintaor.com","c/ de l'aviador Javier Pastor Rojas","L'Armentera","Albanyà","gabriel@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","60236714734","Asensio Puig, Marc","27/08/1996","Herrero Lozano, Iris","+34 XXXXXXX","+34 XXXXXXX","marc@mailintaor.com","Valverde Cuevas, Ana","+34 XXXXZZZZ","+34 XXXXLLL","iris@mailintaor.com","c/ de l'aviador Ana Valverde Cuevas","L'Armentera","Albanyà","marc@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","11715204172","Ponce Zamora, Bruno","02/08/1993","Beltran Hurtado, Aya","+34 XXXXXXX","+34 XXXXXXX","bruno@mailintaor.com","Guerrero Juan, Cristina","+34 XXXXZZZZ","+34 XXXXLLL","aya@mailintaor.com","c/ de l'aviador Cristina Guerrero Juan","L'Armentera","Albanyà","bruno@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","62680685141","Vives Cruz, Sergi","07/06/1991","Valencia Bueno, Aleix","+34 XXXXXXX","+34 XXXXXXX","sergi@mailintaor.com","Contreras Castells, Lluc","+34 XXXXZZZZ","+34 XXXXLLL","aleix@mailintaor.com","c/ de l'aviador Lluc Contreras Castells","L'Armentera","Albanyà","sergi@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","52292672816","Peña Torres, Noa","25/02/1991","Planas Diaz, Gisela","+34 XXXXXXX","+34 XXXXXXX","noa@mailintaor.com","Calderon Franco, Albert","+34 XXXXZZZZ","+34 XXXXLLL","gisela@mailintaor.com","c/ de l'aviador Albert Calderon Franco","L'Armentera","Albanyà","noa@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","28421083815","Alsina Salazar, Oriol","11/11/1997","Miguel Rivas, Iker","+34 XXXXXXX","+34 XXXXXXX","oriol@mailintaor.com","Casas Quintana, Naia","+34 XXXXZZZZ","+34 XXXXLLL","iker@mailintaor.com","c/ de l'aviador Naia Casas Quintana","L'Armentera","Albanyà","oriol@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","72181933491","Bravo Aguilar, Pol","08/05/1991","Gracia Montero, Leyre","+34 XXXXXXX","+34 XXXXXXX","pol@mailintaor.com","Muñoz Cuevas, Roger","+34 XXXXZZZZ","+34 XXXXLLL","leyre@mailintaor.com","c/ de l'aviador Roger Muñoz Cuevas","L'Armentera","Albanyà","pol@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","86694904120","Casals Reyes, Miquel","23/05/1994","Castells Heredia, Arnau","+34 XXXXXXX","+34 XXXXXXX","miquel@mailintaor.com","Dominguez Galan, Ismael","+34 XXXXZZZZ","+34 XXXXLLL","arnau@mailintaor.com","c/ de l'aviador Ismael Dominguez Galan","L'Armentera","Albanyà","miquel@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","43416777476","Castells Ramirez, Bruna","15/03/1996","Robles Benitez, Ainara","+34 XXXXXXX","+34 XXXXXXX","bruna@mailintaor.com","Salas Caballero, Guillem","+34 XXXXZZZZ","+34 XXXXLLL","ainara@mailintaor.com","c/ de l'aviador Guillem Salas Caballero","L'Armentera","Albanyà","bruna@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","50993600745","Singh Herrera, Pol","28/04/1995","Bueno Roldan, Alan","+34 XXXXXXX","+34 XXXXXXX","pol@mailintaor.com","Montes Barrera, Adrià","+34 XXXXZZZZ","+34 XXXXLLL","alan@mailintaor.com","c/ de l'aviador Adrià Montes Barrera","L'Armentera","Albanyà","pol@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","15691512295","Vazquez Maldonado, Bernat","14/02/1997","Franco Vila, Marwa","+34 XXXXXXX","+34 XXXXXXX","bernat@mailintaor.com","Sala Sanchez, Biel","+34 XXXXZZZZ","+34 XXXXLLL","marwa@mailintaor.com","c/ de l'aviador Biel Sala Sanchez","L'Armentera","Albanyà","bernat@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","44201922870","Quesada Benitez, Roger","10/07/1999","Capdevila Arenas, Daniela","+34 XXXXXXX","+34 XXXXXXX","roger@mailintaor.com","Herrero Carmona, Anna","+34 XXXXZZZZ","+34 XXXXLLL","daniela@mailintaor.com","c/ de l'aviador Anna Herrero Carmona","L'Armentera","Albanyà","roger@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","11763518975","Alsina Heredia, Valentina","15/06/1991","Figueras Salas, Lluc","+34 XXXXXXX","+34 XXXXXXX","valentina@mailintaor.com","Esteve Muñoz, Judit","+34 XXXXZZZZ","+34 XXXXLLL","lluc@mailintaor.com","c/ de l'aviador Judit Esteve Muñoz","L'Armentera","Albanyà","valentina@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","42304289247","Valverde Miralles, Jana","19/12/1997","Martin Abad, Joana","+34 XXXXXXX","+34 XXXXXXX","jana@mailintaor.com","Marcos Valero, Anna","+34 XXXXZZZZ","+34 XXXXLLL","joana@mailintaor.com","c/ de l'aviador Anna Marcos Valero","L'Armentera","Albanyà","jana@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","87538459273","Valero Avila, David","27/11/1994","Bautista Marti, Marina","+34 XXXXXXX","+34 XXXXXXX","david@mailintaor.com","Duran Pallares, Ferran","+34 XXXXZZZZ","+34 XXXXLLL","marina@mailintaor.com","c/ de l'aviador Ferran Duran Pallares","L'Armentera","Albanyà","david@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","73901577835","Valls Sancho, Marta","29/03/1993","Ortiz Ventura, Roger","+34 XXXXXXX","+34 XXXXXXX","marta@mailintaor.com","Rius Palau, José","+34 XXXXZZZZ","+34 XXXXLLL","roger@mailintaor.com","c/ de l'aviador José Rius Palau","L'Armentera","Albanyà","marta@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","88056493822","Prats Reina, Arnau","18/09/1997","Palau Llorens, Iris","+34 XXXXXXX","+34 XXXXXXX","arnau@mailintaor.com","Plaza Ordoñez, José","+34 XXXXZZZZ","+34 XXXXLLL","iris@mailintaor.com","c/ de l'aviador José Plaza Ordoñez","L'Armentera","Albanyà","arnau@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","37551650007","Alcaraz Romero, Judith","20/01/1996","Gracia Molina, Marc","+34 XXXXXXX","+34 XXXXXXX","judith@mailintaor.com","Casanovas Marti, Ana","+34 XXXXZZZZ","+34 XXXXLLL","marc@mailintaor.com","c/ de l'aviador Ana Casanovas Marti","L'Armentera","Albanyà","judith@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","62787624902","Lara Guerra, Oriol","22/05/1997","Carmona Manzano, Adrián","+34 XXXXXXX","+34 XXXXXXX","oriol@mailintaor.com","Sancho Diaz, Aitana","+34 XXXXZZZZ","+34 XXXXLLL","adrian@mailintaor.com","c/ de l'aviador Aitana Sancho Diaz","L'Armentera","Albanyà","oriol@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","74500359090","Molina Marin, Mariona","10/09/1996","Miralles Vera, Aya","+34 XXXXXXX","+34 XXXXXXX","mariona@mailintaor.com","Ribas Dalmau, José","+34 XXXXZZZZ","+34 XXXXLLL","aya@mailintaor.com","c/ de l'aviador José Ribas Dalmau","L'Armentera","Albanyà","mariona@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","23240825621","Cabello Vazquez, Emma","05/04/1999","Torrent Garriga, Aina","+34 XXXXXXX","+34 XXXXXXX","emma@mailintaor.com","Marin Bosch, Berta","+34 XXXXZZZZ","+34 XXXXLLL","aina@mailintaor.com","c/ de l'aviador Berta Marin Bosch","L'Armentera","Albanyà","emma@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","47681161416","Santiago Aparicio, Blanca","22/03/1997","Segura Pujol, Ana","+34 XXXXXXX","+34 XXXXXXX","blanca@mailintaor.com","Benito Guerrero, Aya","+34 XXXXZZZZ","+34 XXXXLLL","ana@mailintaor.com","c/ de l'aviador Aya Benito Guerrero","L'Armentera","Albanyà","blanca@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","68407400521","Calderon Plaza, Daniel","23/10/1993","Castillo Vega, Quim","+34 XXXXXXX","+34 XXXXXXX","daniel@mailintaor.com","Mesa Rey, Eva","+34 XXXXZZZZ","+34 XXXXLLL","quim@mailintaor.com","c/ de l'aviador Eva Mesa Rey","L'Armentera","Albanyà","daniel@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","43642798217","Vega Hernandez, Pau","19/11/1996","Bernal Bertran, Ismael","+34 XXXXXXX","+34 XXXXXXX","pau@mailintaor.com","Montero Alcaraz, Clara","+34 XXXXZZZZ","+34 XXXXLLL","ismael@mailintaor.com","c/ de l'aviador Clara Montero Alcaraz","L'Armentera","Albanyà","pau@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","37006387551","Fuentes Bernal, Joel","21/10/1993","Navarro Esteban, Quim","+34 XXXXXXX","+34 XXXXXXX","joel@mailintaor.com","Alcaraz Gutierrez, Lola","+34 XXXXZZZZ","+34 XXXXLLL","quim@mailintaor.com","c/ de l'aviador Lola Alcaraz Gutierrez","L'Armentera","Albanyà","joel@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","82241137406","Rodriguez Jurado, Martina","08/07/1995","Palau Vega, Ivet","+34 XXXXXXX","+34 XXXXXXX","martina@mailintaor.com","Gallardo Aranda, Ivet","+34 XXXXZZZZ","+34 XXXXLLL","ivet@mailintaor.com","c/ de l'aviador Ivet Gallardo Aranda","L'Armentera","Albanyà","martina@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","18533672835","Ferre Quintana, Marina","09/09/1998","Ramos Pastor, Leo","+34 XXXXXXX","+34 XXXXXXX","marina@mailintaor.com","Mendez Linares, Mar","+34 XXXXZZZZ","+34 XXXXLLL","leo@mailintaor.com","c/ de l'aviador Mar Mendez Linares","L'Armentera","Albanyà","marina@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","72874844163","Guillen Guillen, Leo","22/05/1996","Maldonado Galvez, Jan","+34 XXXXXXX","+34 XXXXXXX","leo@mailintaor.com","Villanueva Gutierrez, Leyre","+34 XXXXZZZZ","+34 XXXXLLL","jan@mailintaor.com","c/ de l'aviador Leyre Villanueva Gutierrez","L'Armentera","Albanyà","leo@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","26045318856","Sanz Ribera, Miguel","14/12/1990","Pla Silva, Ian","+34 XXXXXXX","+34 XXXXXXX","miguel@mailintaor.com","Pascual Torres, Biel","+34 XXXXZZZZ","+34 XXXXLLL","ian@mailintaor.com","c/ de l'aviador Biel Pascual Torres","L'Armentera","Albanyà","miguel@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","40605303167","Segura Comas, Joana","13/02/1991","Bernal Hidalgo, Pol","+34 XXXXXXX","+34 XXXXXXX","joana@mailintaor.com","Farre Alarcon, Judit","+34 XXXXZZZZ","+34 XXXXLLL","pol@mailintaor.com","c/ de l'aviador Judit Farre Alarcon","L'Armentera","Albanyà","joana@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","57722260969","Romero Montoya, Irene","08/05/1998","Lazaro Lopez, Judith","+34 XXXXXXX","+34 XXXXXXX","irene@mailintaor.com","Gimeno Bermudez, Eloi","+34 XXXXZZZZ","+34 XXXXLLL","judith@mailintaor.com","c/ de l'aviador Eloi Gimeno Bermudez","L'Armentera","Albanyà","irene@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","32463761656","Benito Moya, Isaac","11/10/1996","Marquez Acosta, Oriol","+34 XXXXXXX","+34 XXXXXXX","isaac@mailintaor.com","Barrera Guillen, Ayman","+34 XXXXZZZZ","+34 XXXXLLL","oriol@mailintaor.com","c/ de l'aviador Ayman Barrera Guillen","L'Armentera","Albanyà","isaac@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","73722367489","Maldonado Vicente, Nerea","17/09/1999","Galvez Maldonado, Marwa","+34 XXXXXXX","+34 XXXXXXX","nerea@mailintaor.com","Izquierdo Carrillo, Marina","+34 XXXXZZZZ","+34 XXXXLLL","marwa@mailintaor.com","c/ de l'aviador Marina Izquierdo Carrillo","L'Armentera","Albanyà","nerea@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2B"
"1","38612437575","Carbonell Rosell, Ayman","05/03/1998","Casado Moreno, Xavi","+34 XXXXXXX","+34 XXXXXXX","ayman@mailintaor.com","Prieto Mendoza, Alexandra","+34 XXXXZZZZ","+34 XXXXLLL","xavi@mailintaor.com","c/ de l'aviador Alexandra Prieto Mendoza","L'Armentera","Albanyà","ayman@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2B"
"1","14669289427","Estrada Sole, Arnau","16/11/1994","Asensio Santiago, Sergio","+34 XXXXXXX","+34 XXXXXXX","arnau@mailintaor.com","Ribas Alvarez, Albert","+34 XXXXZZZZ","+34 XXXXLLL","sergio@mailintaor.com","c/ de l'aviador Albert Ribas Alvarez","L'Armentera","Albanyà","arnau@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2B"
"1","45397137087","Sanchez Silva, Roger","01/01/1993","Morales Bautista, Clara","+34 XXXXXXX","+34 XXXXXXX","roger@mailintaor.com","Muñoz Prat, Jaume","+34 XXXXZZZZ","+34 XXXXLLL","clara@mailintaor.com","c/ de l'aviador Jaume Muñoz Prat","L'Armentera","Albanyà","roger@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2B"
"1","10180446984","Suarez Mir, Roc","27/10/1997","Figueras Lozano, Erik","+34 XXXXXXX","+34 XXXXXXX","roc@mailintaor.com","Roca Comas, Elsa","+34 XXXXZZZZ","+34 XXXXLLL","erik@mailintaor.com","c/ de l'aviador Elsa Roca Comas","L'Armentera","Albanyà","roc@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2B"
"1","83971792963","Cardona Morales, Ariadna","08/01/1993","Roman Abad, Ainhoa","+34 XXXXXXX","+34 XXXXXXX","ariadna@mailintaor.com","Ortiz Vargas, Queralt","+34 XXXXZZZZ","+34 XXXXLLL","ainhoa@mailintaor.com","c/ de l'aviador Queralt Ortiz Vargas","L'Armentera","Albanyà","ariadna@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2B"
"1","37576258314","Vila Roman, Clara","05/02/1999","Soler Egea, Jana","+34 XXXXXXX","+34 XXXXXXX","clara@mailintaor.com","Esteban Romero, Daniel","+34 XXXXZZZZ","+34 XXXXLLL","jana@mailintaor.com","c/ de l'aviador Daniel Esteban Romero","L'Armentera","Albanyà","clara@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2B"
"1","80122863262","Castaño Pallares, Unai","28/05/1995","Mateu Rey, Adrián","+34 XXXXXXX","+34 XXXXXXX","unai@mailintaor.com","Cortes Herrera, Axel","+34 XXXXZZZZ","+34 XXXXLLL","adrian@mailintaor.com","c/ de l'aviador Axel Cortes Herrera","L'Armentera","Albanyà","unai@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2B"
"1","25338748429","Gracia Aparicio, Carlota","20/12/1999","Palau Royo, Erik","+34 XXXXXXX","+34 XXXXXXX","carlota@mailintaor.com","Pozo Valles, Adrià","+34 XXXXZZZZ","+34 XXXXLLL","erik@mailintaor.com","c/ de l'aviador Adrià Pozo Valles","L'Armentera","Albanyà","carlota@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2B"
"1","36979954177","Arroyo Ruiz, Biel","14/10/1997","Muñoz Franco, Nora","+34 XXXXXXX","+34 XXXXXXX","biel@mailintaor.com","Izquierdo Valencia, Joana","+34 XXXXZZZZ","+34 XXXXLLL","nora@mailintaor.com","c/ de l'aviador Joana Izquierdo Valencia","L'Armentera","Albanyà","biel@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2B"
"1","18266111422","Santiago Casado, Nerea","05/11/1990","Miro Segura, Jordi","+34 XXXXXXX","+34 XXXXXXX","nerea@mailintaor.com","Escudero Nieto, Ayman","+34 XXXXZZZZ","+34 XXXXLLL","jordi@mailintaor.com","c/ de l'aviador Ayman Escudero Nieto","L'Armentera","Albanyà","nerea@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2B"
